locus_tag	IF(rnaseq_ratio < 1.0, -1.0/rnaseq_ratio, rnaseq_ratio)	rnaseq_pvalue	IF(proteomics_ratio < 1.0, -1.0/proteomics_ratio, proteomics_ratio)	proteomics_pvalue
Mmol_0299	3.34645103233372	0.43109847849933	NULL	0
Mmol_0300	-1.8789431080375	0.17970150458727	5.38127570889047	0.00409022
Mmol_0301	-2.82692395759028	0.129831136947831	NULL	0
Mmol_0302	-1.53706247416151	0.5068768084974	9.6799084579498	0.017088
Mmol_0303	2.40112454619007	0.520386049620789	1.00319782326493	0.977312
Mmol_0304	-1.23356475706941	0.734574381056047	NULL	0
Mmol_0305	-5.86670663762965	0.199902583596369	1.77061397816325	0.0357509
Mmol_0306	-1.19707629999819	0.827479934334637	NULL	0
Mmol_0307	1.25612105322406	0.32909072110114	NULL	0
Mmol_0308	2.23570016854412	0.30243572236779	-3.04858143681158	0.00144312
Mmol_0309	-1.35664665178069	0.391721485386613	1.17797720615022	0.174375
Mmol_0310	-4.33292189748664	0.18725206416414	-1.66083121635782	0.0966346
Mmol_0311	-3.25818778241277	0.293200323352786	-2.03658533590186	0.0295869
Mmol_0312	-2.60659061840557	0.170047762436512	-2.81712712734594	0.0847823
Mmol_0313	-5.23226855601013	0.331180126653514	-1.42921911109318	0.152802
Mmol_0314	1.06670368597843	0.693885954828418	2.46290187991707	0.0376237
Mmol_0315	-1.1655365578426	0.239634404403339	-1.50356078963598	0.442566
Mmol_0316	-1.86670142227814	0.165950505047563	-1.59848231932074	0.0876729
Mmol_0317	-2.30413173099664	0.237455872217978	1.34952885620223	0.044241
Mmol_0318	1.05536953573357	0.888998068699445	1.52951573517062	0.11692
Mmol_0319	2.03208430664593	0.213803797607294	-1.97348592830693	0.00557399
Mmol_0320	-1.09159060889203	0.755558243455474	1.34273266249099	0.162239
Mmol_0321	1.49360983975666	0.298804472837855	NULL	0
Mmol_0322	1.62818605920398	0.13926617280809	NULL	0
Mmol_0323	-1.47588083055937	0.411603954747832	NULL	0
Mmol_0324	1.45503959800646	0.193164185521525	1.06442204905283	0.339517
Mmol_0325	-1.00378312164624	0.992746252098664	-1.01985288225409	0.945996
Mmol_0326	-1.81189496651296	0.0477606627986393	1.16807355245805	0.624991
Mmol_0327	-1.88015367969229	0.301257594960022	1.19112966511743	0.175566
Mmol_0328	-1.64257255646449	0.0792912738895087	1.22221896698568	0.0860844
Mmol_0329	-2.64836429872295	0.0444352340404756	3.15902744674627	0.000780077
Mmol_0330	-2.03104618542325	0.324408932853875	NULL	0
Mmol_R0011	-1.1406402751086	0.77725973321657	NULL	NULL
Mmol_R0012	3.93701584972413	0.52416221622295	NULL	NULL
Mmol_R0013	-2.39391260715716	0.257933746533305	NULL	NULL
Mmol_R0014	-1.52670684762076	0.49101598031747	NULL	NULL
Mmol_0331	-8.17029452498939	0.226873600158766	1.05977504230132	0.660615
Mmol_R0015	3.18268646750281	0.578147827494466	NULL	NULL
Mmol_0332	-5.31387645902065	0.087706667278249	NULL	0
Mmol_0333	-1.73836367619285	0.561842391492731	-2.515533878395	0.000636289
Mmol_0334	-6.80956065518281	0.138150828593851	-2.05970458308323	0.117554
Mmol_0335	-6.82360801182751	0.253745924531187	-3.01710945460564	0.00565423
Mmol_0336	-5.51168284816029	0.393292793068867	-2.70667147890262	0.00316845
Mmol_0337	-5.54939121955141	0.0439941510141181	-3.44100172106688	0.00301258
Mmol_0338	-1.46383051071025	0.396199806990616	-2.54809079776264	0.000510829
Mmol_0339	-1.18426849395892	0.303717102096404	-2.18609117207098	5.2e-06
Mmol_0340	-4.29551800420798	0.0627117319842378	-1.06684525336525	0.728671
Mmol_0341	-1.43857591944275	0.539368010919572	1.10177275066844	0.435996
Mmol_0342	-1.6658902577675	0.122429207766275	-1.01043535548955	0.836062
Mmol_0343	-8.19991944828631	0.215855068006822	NULL	0
Mmol_0344	-3.12465899799403	0.35384242623894	-3.35975663896551	0.0763034
Mmol_0345	-6.14645789444024	0.107921024386763	-2.50714654584225	0.0272186
Mmol_0346	-3.68712206945005	0.224414877156212	-1.20345441685474	0.380048
Mmol_0347	-2.21252518653903	0.288387301270889	-2.75216361068368	0.0104453
Mmol_0348	-3.52891048803925	0.151651623801452	-1.37698389632624	0.00534276
Mmol_0349	-1.36512020883892	0.390330599264173	1.24310538018852	0.342043
Mmol_0350	-2.00248552013907	0.0750090989113561	-1.91659838472507	0.0736355
Mmol_0351	-2.31789688249781	0.199627656435731	1.64916682372411	0.0518719
Mmol_0352	-3.59090314215685	0.263527452505091	-1.94737814411435	0.138236
Mmol_0353	-2.01593803245796	0.12763390483811	-1.87169011149714	0.0170359
Mmol_0354	1.00847880987412	0.969570803115175	-3.50385968948541	2.56e-05
Mmol_0355	-5.29466074751536	0.086634363248023	-1.4122350979548	0.0940029
Mmol_0356	-5.56543059306579	0.0953147988754198	-3.43210355678657	0.00603328
Mmol_0357	-2.70682754589098	0.21694946709677	-1.8522169713197	0.000763695
Mmol_0358	-4.16653127012193	0.0508512439670394	-1.81676736162975	0.0958255
Mmol_0359	-3.42638476195493	0.260029472221995	-2.80820962843699	0.0458696
Mmol_0360	-4.50977270196206	0.214386524664709	-1.18236859530133	0.467393
Mmol_0361	-3.90557197053111	0.0519034199107741	-1.07280295551583	0.481339
Mmol_0362	-6.0236269887742	0.245968222520481	1.47296700151449	0.000255304
Mmol_0363	-15.3250975472813	0.449045689677142	NULL	0
Mmol_0364	-1.74979372760958	0.0158030809951494	-1.5740844940208	0.178325
Mmol_0365	-2.84223591108814	0.179036335230935	1.92263891694751	0.772569
Mmol_0366	-2.63065218072107	0.235290962691595	1.2320311360489	0.159803
Mmol_0367	-4.97677484360308	0.284202673020736	NULL	0
Mmol_0368	-8.45459219360035	0.232021084530818	-2.34620019186693	0.00659738
Mmol_0369	-4.43690608124041	0.0156766295488358	-1.98667968962207	0.000232864
Mmol_0370	-4.39390140982265	0.235659491934273	1.06465042931262	0.686005
